Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.gjt.sp.jedit.options,HeaderMouseHandler,-1,0,0,1,1,12,3,0,0,0,0
.,org.gjt.sp.jedit.options,TableMouseHandler,-1,0,0,1,1,5,2,0,0,0,0
.,org.gjt.sp.jedit.options,SelectionHandler,-1,0,0,1,1,5,1,0,0,0,0
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,33,7,0,0,0,4
.,org.gjt.sp.jedit.options,Renderer,-1,0,0,1,1,7,2,0,0,0,0
.,org.gjt.sp.jedit.options,AbbrevsModel,0.285714286,5,0,14,7,96,25,0,0,2,3
.,org.gjt.sp.jedit.options,AbbrevCompare,0,1,0,2,1,18,3,0,0,0,2
.,org.gjt.sp.jedit.options,Abbrev,1,2,0,2,0,10,2,0,0,3,0
.,org.gjt.sp.jedit.options,BufferOptionPane,0.5,16,0,4,2,184,23,0,2,1,9
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,15,2,0,0,0,1
.,org.gjt.sp.jedit.options,PluginManagerOptionPane,0.333333333,13,0,18,11,233,37,0,2,0,9
.,org.gjt.sp.jedit.options,MirrorModel,0,1,0,5,4,21,6,0,0,1,3
.,org.gjt.sp.jedit.options,SingleSelectionModel,-1,0,0,2,1,7,2,0,0,0,0
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,7,1,0,0,0,1
.,org.gjt.sp.jedit.options,UpdateMirrorsThread,0.666666667,1,0,6,4,76,15,0,2,0,7
.,org.gjt.sp.jedit.options,DockingOptionPane,0.363636364,10,2,11,6,111,13,0,2,2,6
.,org.gjt.sp.jedit.options,DockPositionCellRenderer,-1,0,0,2,1,10,2,0,0,1,1
.,org.gjt.sp.jedit.options,WindowTableModel,0.357142857,8,0,14,11,122,29,0,0,0,4
.,org.gjt.sp.jedit.options,Entry,0,3,0,2,0,15,4,0,0,0,2
.,org.gjt.sp.jedit.options,WindowCompare,-1,0,0,1,1,7,1,0,0,0,2
.,org.gjt.sp.jedit.options,ToolBarOptionPane,0.125,16,0,16,10,246,39,0,2,2,9
.,org.gjt.sp.jedit.options,ButtonCompare,-1,0,0,1,1,5,1,0,0,0,2
.,org.gjt.sp.jedit.options,Button,0,4,0,4,3,22,5,0,0,5,1
.,org.gjt.sp.jedit.options,IconListEntry,0,2,0,2,1,11,2,0,0,3,0
.,org.gjt.sp.jedit.options,ButtonCellRenderer,-1,0,0,1,1,8,1,0,0,0,1
.,org.gjt.sp.jedit.options,IconCellRenderer,-1,0,0,1,1,8,1,0,0,0,1
